customer_id,name,age,gender,email,phone,signup_date,last_purchase,total_spent,purchase_count,city,subscription_status
1,Customer_1,56,Female,user1@email.com,+1-555-150-1140,2020-01-01,2021-01-01,1459.3574999999996,5,Phoenix,Active
2,Customer_2,69,Female,user2@email.com,+1-555-569-5882,2020-01-02,2021-01-02,0.0,3,Chicago,Active
3,Customer_3,100,Female,user3@email.com,+1-555-901-7012,2020-01-03,2021-01-03,40.85,4,Houston,Active
4,Customer_4,32,Male,user4@email.com,+1-555-472-4610,2020-01-04,2021-01-04,393.18,2,New York,Active
5,Customer_5,60,Female,user5@email.com,+1-555-768-7894,2020-01-05,2021-01-05,617.77,2,Phoenix,Active
6,Customer_6,25,Male,user6@email.com,+1-555-255-8311,2020-01-06,2021-01-06,91.55,7,Los Angeles,Inactive
7,Customer_7,78,Male,user7@email.com,+1-555-205-6539,2020-01-07,2021-01-07,758.5,3,New York,Inactive
8,Customer_8,38,Male,user8@email.com,+1-555-769-7787,2020-01-08,2021-01-08,438.26,1,Los Angeles,Active
9,Customer_9,56,Male,user9@email.com,+1-555-189-5445,2020-01-09,2021-01-09,1459.3574999999996,3,Houston,Inactive
11,Customer_11,36,Male,user11@email.com,+1-555-450-8052,2020-01-11,2021-01-11,154.16,5,Los Angeles,Active
12,Customer_12,40,Female,user12@email.com,+1-555-258-4654,2020-01-12,2021-01-12,460.09,5,New York,Active
13,Customer_13,28,Female,user13@email.com,+1-555-411-9105,2020-01-13,2021-01-13,175.89,4,New York,Active
14,Customer_14,28,Female,user14@email.com,+1-555-544-7441,2020-01-14,2021-01-14,626.62,5,Chicago,Active
15,Customer_15,41,Female,user15@email.com,,2020-01-15,2021-01-15,711.49,5,New York,Active
16,Customer_16,70,Female,user16@email.com,+1-555-135-6203,2020-01-16,2021-01-16,54.08,3,Chicago,Active
17,Customer_17,53,Female,user17@email.com,+1-555-551-2798,2020-01-17,2021-01-17,360.62,3,New York,Inactive
18,Customer_18,57,Female,user18@email.com,+1-555-921-6291,2020-01-18,2021-01-18,355.54,6,Los Angeles,Active
19,Customer_19,41,Male,user19@email.com,+1-555-475-7284,2020-01-19,2021-01-19,230.45,6,Houston,Inactive
21,Customer_21,39,Male,user21@email.com,+1-555-376-7869,2020-01-21,2021-01-21,878.7,9,Los Angeles,Active
22,Customer_22,70,Male,user22@email.com,+1-555-319-4097,2020-01-22,2021-01-22,597.36,6,Phoenix,Active
23,Customer_23,19,Male,user23@email.com,+1-555-620-1009,2020-01-23,2021-01-23,626.45,5,New York,Inactive
24,Customer_24,41,Female,user24@email.com,+1-555-477-6752,2020-01-24,2021-01-24,309.68,5,New York,Inactive
25,Customer_25,61,Female,user25@email.com,+1-555-736-7295,2020-01-25,2021-01-25,1269.12,4,Chicago,Active
26,Customer_26,47,Male,user26@email.com,+1-555-819-2072,2020-01-26,2021-01-26,593.06,10,New York,Active
27,Customer_27,55,Male,user27@email.com,+1-555-253-2316,2020-01-27,2021-01-27,652.78,6,Phoenix,Active
28,Customer_28,19,Male,user28@email.com,+1-555-679-7807,2020-01-28,2021-01-28,989.13,2,Chicago,Inactive
29,Customer_29,77,Female,user29@email.com,+1-555-630-4683,2020-01-29,2021-01-29,160.15,4,Phoenix,Active
31,Customer_31,50,Male,user31@email.com,+1-555-159-4273,2020-01-31,2021-01-31,108.61,2,Chicago,Inactive
32,Customer_32,29,Female,user32@email.com,+1-555-956-1145,2020-02-01,2021-02-01,211.82,5,New York,Active
33,Customer_33,75,Male,user33@email.com,+1-555-775-4040,2020-02-02,2021-02-02,204.44,6,New York,Inactive
34,Customer_34,39,Female,user34@email.com,+1-555-538-1482,2020-02-03,2021-02-03,1459.3574999999996,5,Chicago,Active
35,Customer_35,78,Male,user35@email.com,+1-555-207-2249,2020-02-04,2021-02-04,970.84,10,Los Angeles,Active
36,Customer_36,61,Female,user36@email.com,+1-555-772-1630,2020-02-05,2021-02-05,603.94,5,New York,Inactive
37,Customer_37,42,Female,user37@email.com,+1-555-760-9853,2020-02-06,2021-02-06,649.25,5,Los Angeles,Active
38,Customer_38,66,Female,user38@email.com,+1-555-531-3852,2020-02-07,2021-02-07,412.85,4,New York,Inactive
39,Customer_39,44,Female,user39@email.com,+1-555-754-1987,2020-02-08,2021-02-08,1459.3574999999996,4,New York,Active
41,Customer_41,59,Male,user41@email.com,+1-555-622-9841,2020-02-10,2021-02-10,239.44,6,New York,Inactive
42,Customer_42,45,Male,user42@email.com,+1-555-689-2100,2020-02-11,2021-02-11,88.99,4,New York,Inactive
43,Customer_43,77,Female,user43@email.com,+1-555-608-9632,2020-02-12,2021-02-12,771.37,2,New York,Active
44,Customer_44,33,Male,user44@email.com,+1-555-353-6016,2020-02-13,2021-02-13,662.96,9,New York,Active
45,Customer_45,32,Female,user45@email.com,,2020-02-14,2021-02-14,242.54,5,New York,Active
46,Customer_46,79,Male,user46@email.com,+1-555-869-2343,2020-02-15,2021-02-15,12.76,9,Los Angeles,Active
47,Customer_47,79,Male,user47@email.com,+1-555-902-5358,2020-02-16,2021-02-16,913.17,5,New York,Inactive
48,Customer_48,64,Female,user48@email.com,+1-555-696-7780,2020-02-17,2021-02-17,5.74,5,New York,Active
49,Customer_49,79,Male,user49@email.com,+1-555-266-7602,2020-02-18,2021-02-18,608.19,1,Chicago,Active
51,Customer_51,61,Female,user51@email.com,+1-555-630-6699,2020-02-20,2021-02-20,287.83,8,Phoenix,Inactive
52,Customer_52,72,Female,user52@email.com,+1-555-317-2125,2020-02-21,2021-02-21,133.92,6,Chicago,Inactive
53,Customer_53,69,Female,user53@email.com,+1-555-653-7764,2020-02-22,2021-02-22,610.17,2,Chicago,Inactive
54,Customer_54,74,Male,user54@email.com,+1-555-135-8843,2020-02-23,2021-02-23,849.48,5,Los Angeles,Inactive
55,Customer_55,20,Female,user55@email.com,+1-555-998-1072,2020-02-24,2021-02-24,395.3,5,New York,Inactive
56,Customer_56,54,Male,user56@email.com,+1-555-747-6472,2020-02-25,2021-02-25,1459.3574999999996,4,New York,Inactive
57,Customer_57,68,Female,user57@email.com,+1-555-990-6189,2020-02-26,2021-02-26,26.53,6,New York,Active
58,Customer_58,24,Female,user58@email.com,+1-555-524-1707,2020-02-27,2021-02-27,351.39,5,Los Angeles,Active
59,Customer_59,38,Male,user59@email.com,+1-555-880-7704,2020-02-28,2021-02-28,633.73,6,Chicago,Inactive
61,Customer_61,56,Male,user61@email.com,+1-555-927-4713,2020-03-01,2021-03-02,98.77,4,Phoenix,Inactive
62,Customer_62,35,Male,user62@email.com,+1-555-616-3475,2020-03-02,2021-03-03,804.73,7,Houston,Inactive
63,Customer_63,21,Male,user63@email.com,+1-555-638-5255,2020-03-03,2021-03-04,402.27,5,Chicago,Active
64,Customer_64,42,Female,user64@email.com,+1-555-248-8397,2020-03-04,2021-03-05,252.55,7,New York,Active
65,Customer_65,77,Male,user65@email.com,+1-555-811-9258,2020-03-05,2021-03-06,70.62,6,Los Angeles,Inactive
66,Customer_66,31,Female,user66@email.com,+1-555-911-3428,2020-03-06,2021-03-07,1002.34,4,New York,Inactive
67,Customer_67,67,Female,user67@email.com,+1-555-157-8426,2020-03-07,2021-03-08,85.56,8,Chicago,Active
68,Customer_68,75,Female,user68@email.com,+1-555-441-6249,2020-03-08,2021-03-09,185.38,4,Los Angeles,Active
69,Customer_69,26,Female,user69@email.com,+1-555-826-6291,2020-03-09,2021-03-10,171.28,3,Chicago,Active
71,Customer_71,70,Female,user71@email.com,+1-555-453-5211,2020-03-11,2021-03-12,558.44,10,Phoenix,Active
72,Customer_72,19,Male,user72@email.com,+1-555-363-1661,2020-03-12,2021-03-13,796.49,6,Houston,Active
73,Customer_73,37,Male,user73@email.com,+1-555-911-4374,2020-03-13,2021-03-14,144.15,4,New York,Active
74,Customer_74,45,Male,user74@email.com,+1-555-410-1207,2020-03-14,2021-03-15,490.25,3,Chicago,Inactive
75,Customer_75,64,Female,user75@email.com,,2020-03-15,2021-03-16,424.02,3,New York,Inactive
